campaign_name,date,spend_gbp,impressions,reach,website_clicks,searches,content_views,add_to_cart,purchases,ctr,click_to_purchase_rate,cpc_gbp,cpa_gbp
Control Campaign,2019-08-01,3185.04,74908,56827,3541,725,545,254,100,0.04727131948523522,0.02824060999717594,0.8994747246540525,31.8504
Control Campaign,2019-08-02,4517.63,112567,91660,5357,1136,850,394,143,0.047589435625005554,0.026694045174537988,0.8433134216912451,31.591818181818184
Control Campaign,2019-08-03,5365.08,106001,77470,5086,1075,824,400,137,0.04798067942755257,0.026936688950058987,1.0548721981911129,39.161167883211675
Control Campaign,2019-08-04,4545.17,94138,81024,4410,920,696,324,115,0.04684611952665236,0.026077097505668934,1.0306507936507936,39.52321739130435
Control Campaign,2019-08-05,3459.9,93815,77620,4529,973,734,319,105,0.04827586206896552,0.023183925811437404,0.7639434753808788,32.95142857142857
Control Campaign,2019-08-06,6089.63,117222,99506,5723,1207,886,407,132,0.04882189350121991,0.02306482614013629,1.0640625546042286,46.133560606060605
Control Campaign,2019-08-07,3732.34,74727,58307,3522,740,539,251,96,0.04713155887430246,0.027257240204429302,1.0597217490062465,38.87854166666667
Control Campaign,2019-08-08,4315.39,108355,95896,5211,1074,804,369,112,0.04809192007752296,0.021492995586259837,0.8281308769909806,38.53026785714286
Control Campaign,2019-08-09,3991.34,81080,70688,3915,835,602,282,96,0.04828564380858411,0.024521072796934867,1.019499361430396,41.576458333333335
Control Campaign,2019-08-10,2767.27,75179,64076,3655,744,557,261,103,0.04861730004389524,0.028180574555403556,0.7571190150478796,26.866699029126213
Control Campaign,2019-08-11,5144.21,98956,74522,4802,931,658,310,103,0.04852661789077974,0.021449396084964597,1.0712640566430653,49.94378640776699
Control Campaign,2019-08-12,5727.47,123659,98845,5886,1198,881,401,128,0.04759863819050777,0.021746517159361198,0.9730665987088006,44.745859375
Control Campaign,2019-08-13,5087.19,110466,80358,5341,1072,788,371,122,0.04834971846541017,0.022842164388691258,0.9524789365287398,41.69827868852459
Control Campaign,2019-08-14,4087.16,111862,83474,5382,1087,830,383,139,0.04811285333714756,0.02582683017465626,0.7594128576737272,29.404028776978418
