campaign_name,date,spend_gbp,impressions,reach,website_clicks,searches,content_views,add_to_cart,purchases
Control Campaign,2019-08-01,3185.04,74908,56827,3541,725,545,254,100
Control Campaign,2019-08-02,4517.63,112567,91660,5357,1136,850,394,143
Control Campaign,2019-08-03,5365.08,106001,77470,5086,1075,824,400,137
Control Campaign,2019-08-04,4545.17,94138,81024,4410,920,696,324,115
Control Campaign,2019-08-05,3459.9,93815,77620,4529,973,734,319,105
Control Campaign,2019-08-06,6089.63,117222,99506,5723,1207,886,407,132
Control Campaign,2019-08-07,3732.34,74727,58307,3522,740,539,251,96
Control Campaign,2019-08-08,4315.39,108355,95896,5211,1074,804,369,112
Control Campaign,2019-08-09,3991.34,81080,70688,3915,835,602,282,96
Control Campaign,2019-08-10,2767.27,75179,64076,3655,744,557,261,103
Control Campaign,2019-08-11,5144.21,98956,74522,4802,931,658,310,103
Control Campaign,2019-08-12,5727.47,123659,98845,5886,1198,881,401,128
Control Campaign,2019-08-13,5087.19,110466,80358,5341,1072,788,371,122
Control Campaign,2019-08-14,4087.16,111862,83474,5382,1087,830,383,139
Control Campaign,2019-08-15,5500.37,109461,91522,5303,1106,817,370,128
Control Campaign,2019-08-16,4018.98,113233,95864,5393,1107,800,384,136
Control Campaign,2019-08-17,3840.09,98227,86879,4743,988,741,342,118
Control Campaign,2019-08-18,2883.94,77046,59740,3623,703,536,232,73
Control Campaign,2019-08-19,5600.75,116186,90971,5647,1190,872,376,127
Control Campaign,2019-08-20,3636.31,94771,75800,4622,984,726,316,102
Control Campaign,2019-08-21,4922.84,97519,73354,4749,1010,721,337,116
Control Campaign,2019-08-22,4172.23,90393,67079,4366,905,664,296,106
Control Campaign,2019-08-23,2850.61,80040,64101,3903,772,571,261,80
Control Campaign,2019-08-24,4245.19,120972,91766,5806,1235,924,434,153
Control Campaign,2019-08-25,4053.73,112986,94215,5266,1049,777,376,136
Control Campaign,2019-08-26,4775.24,105412,83730,5158,1038,770,347,145
Control Campaign,2019-08-27,4479.94,92132,79376,4276,864,656,312,100
Control Campaign,2019-08-28,4501.17,115251,96700,5611,1070,786,367,120
Control Campaign,2019-08-29,4943.9,99998,77308,4837,1017,746,346,116
Control Campaign,2019-08-30,3395.38,94387,81312,4600,994,736,313,107
Test Campaign,2019-08-01,4535.34,106002,89721,5768,1305,947,481,181
Test Campaign,2019-08-02,4017.19,110265,85582,6072,1408,1061,553,209
Test Campaign,2019-08-03,3021.22,79495,64629,4268,991,744,372,141
Test Campaign,2019-08-04,5637.67,119511,88538,6567,1527,1149,578,204
Test Campaign,2019-08-05,4396.18,99665,78967,5467,1273,909,474,190
Test Campaign,2019-08-06,5604.21,111210,94617,6068,1353,1014,538,215
Test Campaign,2019-08-07,5216.7,99159,85481,5291,1260,941,510,194
Test Campaign,2019-08-08,5550.17,118616,92419,6342,1444,1058,552,184
Test Campaign,2019-08-09,4479.52,88403,67494,4783,1091,819,417,171
Test Campaign,2019-08-10,3250.01,82510,69688,4468,1014,747,378,149
Test Campaign,2019-08-11,4101.74,88263,68218,4795,1174,867,436,172
Test Campaign,2019-08-12,4266.19,110428,83673,5983,1392,1008,505,199
Test Campaign,2019-08-13,3610.28,96572,75546,5215,1203,879,442,170
Test Campaign,2019-08-14,4290.72,105683,82421,5628,1268,898,473,184
Test Campaign,2019-08-15,5947.87,119270,90442,6435,1484,1073,582,230
Test Campaign,2019-08-16,3825.53,85556,75911,4620,1079,822,429,168
Test Campaign,2019-08-17,4521.81,120346,98656,6473,1527,1142,605,224
Test Campaign,2019-08-18,4247.71,85558,74646,4702,1079,809,411,157
Test Campaign,2019-08-19,3816.2,79683,62725,4239,1039,764,382,151
Test Campaign,2019-08-20,4298.64,116187,101172,6284,1473,1096,571,200
Test Campaign,2019-08-21,4029.5,77925,66120,4168,973,708,363,153
Test Campaign,2019-08-22,3110.55,81878,65449,4508,1064,779,424,181
Test Campaign,2019-08-23,3266.0,74184,57467,3896,874,643,326,129
Test Campaign,2019-08-24,3629.49,91090,74905,4951,1188,888,465,184
Test Campaign,2019-08-25,4250.36,104659,93095,5741,1254,941,475,177
Test Campaign,2019-08-26,4810.76,92869,77930,5066,1177,908,465,162
Test Campaign,2019-08-27,3011.43,72999,64159,3883,865,655,329,119
Test Campaign,2019-08-28,3352.85,86912,66987,4759,1069,794,434,161
Test Campaign,2019-08-29,3516.76,72402,60146,3790,898,686,356,133
Test Campaign,2019-08-30,4838.83,89489,76667,4956,1152,840,441,185
